;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;5;{'uid': '017'};22;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-09-26T08:58:01.862000Z
1;11;{'uid': '039'};14;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-09-26T08:58:02.310000Z
2;13;{'uid': '128'};1;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-09-26T08:58:01.542000Z
3;10;{'uid': '715'};2;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-09-26T08:58:02.330000Z
4;7;{'uid': '069'};7;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-09-26T08:58:02.580000Z
5;9;{'uid': '587'};3;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-09-26T08:58:03.382000Z
6;22;{'uid': '026'};10;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-09-26T08:58:02.144000Z
7;16;{'uid': '146'};0;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-09-26T08:58:02.134000Z
8;8;{'uid': '084'};4;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-09-26T08:58:02.832000Z
9;24;{'uid': '521'};5;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-09-26T08:58:02.902000Z
10;24;{'uid': '101'};0;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-09-26T08:58:03.356000Z
11;12;{'uid': '004'};2;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-09-26T08:58:01.461000Z
12;4;{'uid': '006'};21;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-09-26T08:58:01.479000Z
13;2;{'uid': '013'};14;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-09-26T08:58:01.742000Z
14;8;{'uid': '015'};4;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-09-26T08:58:01.782000Z
15;13;{'uid': '016'};5;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-09-26T08:58:01.822000Z
16;41;{'uid': '021'};3;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-09-26T08:58:02.025000Z
17;17;{'uid': '023'};13;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-09-26T08:58:02.088000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-09-26T08:58:02.276000Z
19;14;{'uid': '033'};2;087aed9505e2f06b74fbd6b96486c4d8;60.171155;24.92506;Kauppakorkeakoulu;2018-09-26T08:58:02.278000Z
20;12;{'uid': '034'};3;8adcd117e712e01bdc3d24ed2ee7f9d0;60.173944;24.932879;Kansallismuseo;2018-09-26T08:58:02.279000Z
21;12;{'uid': '036'};1;2c1c0df24c5fd9b98999de2d6ef0f2a6;60.176076;24.922503;Apollonkatu;2018-09-26T08:58:02.284000Z
22;9;{'uid': '037'};8;b91b0dc7dfe785f59ecdbbe187ea9fe2;60.1774947;24.928409278;Töölönkatu;2018-09-26T08:58:02.285000Z
23;11;{'uid': '038'};4;10388240daa03dce0726db54a627d4f4;60.179141;24.924981;Töölöntori;2018-09-26T08:58:02.288000Z
