;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;11;{'uid': '017'};16;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-09-24T06:58:06.655000Z
1;1;{'uid': '039'};32;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-09-24T06:58:06.692000Z
2;12;{'uid': '128'};0;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-09-24T06:58:06.640000Z
3;11;{'uid': '715'};1;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-09-24T06:58:06.694000Z
4;1;{'uid': '069'};13;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-09-24T06:58:06.753000Z
5;12;{'uid': '587'};0;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-09-24T06:58:07.027000Z
6;30;{'uid': '026'};2;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-09-24T06:58:06.673000Z
7;5;{'uid': '146'};12;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-09-24T06:58:06.672000Z
8;10;{'uid': '084'};2;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-09-24T06:58:06.888000Z
9;29;{'uid': '521'};1;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-09-24T06:58:06.908000Z
10;12;{'uid': '101'};12;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-09-24T06:58:07.019000Z
11;3;{'uid': '004'};11;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-09-24T06:58:06.635000Z
12;2;{'uid': '006'};27;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-09-24T06:58:06.638000Z
13;7;{'uid': '013'};6;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-09-24T06:58:06.648000Z
14;6;{'uid': '015'};6;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-09-24T06:58:06.652000Z
15;14;{'uid': '016'};2;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-09-24T06:58:06.653000Z
16;42;{'uid': '021'};2;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-09-24T06:58:06.665000Z
17;24;{'uid': '023'};6;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-09-24T06:58:06.668000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-09-24T06:58:06.686000Z
