;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;10;{'uid': '017'};21;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-10-08T16:59:18.646000Z
1;0;{'uid': '039'};26;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-10-08T16:59:19.066000Z
2;11;{'uid': '128'};2;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-10-08T16:59:18.525000Z
3;1;{'uid': '715'};11;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-10-08T16:59:19.121000Z
4;10;{'uid': '069'};4;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-10-08T16:59:19.650000Z
5;7;{'uid': '587'};5;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-10-08T16:59:20.257000Z
6;31;{'uid': '026'};1;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-10-08T16:59:18.829000Z
7;8;{'uid': '146'};8;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-10-08T16:59:18.819000Z
8;7;{'uid': '084'};5;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-10-08T16:59:19.876000Z
9;26;{'uid': '521'};3;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-10-08T16:59:19.913000Z
10;2;{'uid': '101'};22;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-10-08T16:59:20.250000Z
11;6;{'uid': '004'};8;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-10-08T16:59:18.503000Z
12;6;{'uid': '006'};27;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-10-08T16:59:18.510000Z
13;1;{'uid': '013'};15;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-10-08T16:59:18.579000Z
14;9;{'uid': '015'};3;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-10-08T16:59:18.606000Z
15;3;{'uid': '016'};26;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-10-08T16:59:18.632000Z
16;29;{'uid': '021'};18;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-10-08T16:59:18.695000Z
17;26;{'uid': '023'};5;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-10-08T16:59:18.728000Z
