;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;26;{'uid': '017'};1;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-09-30T09:59:32.348000Z
1;2;{'uid': '039'};29;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-09-30T09:59:32.382000Z
2;12;{'uid': '128'};1;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-09-30T09:59:32.332000Z
3;1;{'uid': '715'};13;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-09-30T09:59:32.385000Z
4;9;{'uid': '069'};5;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-09-30T09:59:32.486000Z
5;12;{'uid': '587'};0;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-09-30T09:59:32.747000Z
6;6;{'uid': '026'};26;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-09-30T09:59:32.363000Z
7;1;{'uid': '146'};16;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-09-30T09:59:32.362000Z
8;2;{'uid': '084'};10;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-09-30T09:59:32.666000Z
9;27;{'uid': '521'};2;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-09-30T09:59:32.681000Z
10;10;{'uid': '101'};18;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-09-30T09:59:32.744000Z
11;13;{'uid': '004'};1;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-09-30T09:59:32.326000Z
12;17;{'uid': '006'};6;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-09-30T09:59:32.329000Z
13;6;{'uid': '013'};9;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-09-30T09:59:32.341000Z
14;8;{'uid': '015'};4;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-09-30T09:59:32.344000Z
15;6;{'uid': '016'};14;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-09-30T09:59:32.346000Z
16;5;{'uid': '021'};48;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-09-30T09:59:32.354000Z
17;23;{'uid': '023'};7;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-09-30T09:59:32.358000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-09-30T09:59:32.376000Z
19;13;{'uid': '033'};3;087aed9505e2f06b74fbd6b96486c4d8;60.171155;24.92506;Kauppakorkeakoulu;2018-09-30T09:59:32.377000Z
20;13;{'uid': '034'};2;8adcd117e712e01bdc3d24ed2ee7f9d0;60.173944;24.932879;Kansallismuseo;2018-09-30T09:59:32.378000Z
21;4;{'uid': '036'};23;2c1c0df24c5fd9b98999de2d6ef0f2a6;60.176076;24.922503;Apollonkatu;2018-09-30T09:59:32.380000Z
22;2;{'uid': '037'};27;b91b0dc7dfe785f59ecdbbe187ea9fe2;60.1774947;24.928409278;Töölönkatu;2018-09-30T09:59:32.380000Z
23;6;{'uid': '038'};13;10388240daa03dce0726db54a627d4f4;60.179141;24.924981;Töölöntori;2018-09-30T09:59:32.381000Z
24;17;{'uid': '040'};12;38319ecf8cadc7b3c9a0c009bad1d142;60.178102;24.952391;Hakaniemen metroasema;2018-09-30T09:59:32.388000Z
25;7;{'uid': '041'};40;5d71dc7c702527c1cafcd88674750fe5;60.180808;24.949272;Ympyrätalo;2018-09-30T09:59:32.390000Z
26;18;{'uid': '043'};2;d03a5f077dd43c3979cac9bf1cff04f7;60.184283;24.952703;Karhupuisto;2018-09-30T09:59:32.394000Z
27;22;{'uid': '044'};2;9a129e60f204059e7033224e79ba4816;60.187704;24.960505;Sörnäisten metroasema;2018-09-30T09:59:32.395000Z
28;11;{'uid': '052'};7;f36e109143c3a5667c72fa3e53f3743f;60.1540763;24.8793159;Heikkilänaukio;2018-09-30T09:59:32.431000Z
29;9;{'uid': '053'};3;8d3c28d2071974a4568ce0018613acc8;60.156817;24.8850653;Heikkiläntie;2018-09-30T09:59:32.432000Z
30;0;{'uid': '056'};13;61b7df21d32a35c1373ea63c4464a23d;60.1654485;24.8601992;Luoteisväylä;2018-09-30T09:59:32.439000Z
31;10;{'uid': '593'};3;b5e6c836ffc8fb5e1e578a512ef301b8;60.159601;24.782536;Toppelundintie;2018-09-30T09:59:32.307000Z
32;14;{'uid': '110'};3;79e6a073c80d2667b629db194629b403;60.198898;24.924867;Maistraatintori;2018-09-30T09:59:32.308000Z
33;38;{'uid': '113'};2;74689515429fa60a03634dba53ae4ba6;60.199715;24.935198;Veturitori;2018-09-30T09:59:32.312000Z
34;15;{'uid': '115'};1;ad22db44a62ee3fb4fa7fbf881b14115;60.1942095;24.941578;Venttiilikuja;2018-09-30T09:59:32.315000Z
35;14;{'uid': '121'};3;4f9d39370f89c01556e6198029d28dbc;60.1864633;24.9678718;Vilhonvuorenkatu;2018-09-30T09:59:32.320000Z
36;16;{'uid': '122'};0;d6e1c2b7cab65e4b0cf39be6af30cc6a;60.1837182;24.9621936;Lintulahdenkatu;2018-09-30T09:59:32.322000Z
37;15;{'uid': '124'};3;18757df75f572ff24ba88b2ead97352c;60.18265182;24.98179261;Isoisänsilta;2018-09-30T09:59:32.325000Z
38;0;{'uid': '125'};41;c266d627b510c4ab43632d3bbbccb32c;60.1847821;24.9786428;Arielinkatu;2018-09-30T09:59:32.327000Z
39;0;{'uid': '126'};39;1099ea376c74cd14567299d4477044a0;60.188399;24.975852;Kalasataman metroasema;2018-09-30T09:59:32.329000Z
40;8;{'uid': '127'};12;248c9f45e435fe0af09dfd5402ec2be3;60.1896994;24.9711926;Teurastamo;2018-09-30T09:59:32.330000Z
41;24;{'uid': '130'};0;84f7d5429014d4a44e4b8e0c96274158;60.193486;24.9487524;Teollisuuskatu;2018-09-30T09:59:32.334000Z
42;23;{'uid': '131'};1;73502a450f73707bddffc092ee502c67;60.1962627;24.9476186;Elimäenkatu;2018-09-30T09:59:32.336000Z
43;22;{'uid': '133'};0;d278884008c1f89b6785192d7bdb1713;60.1974886;24.9614385;Paavalinpuisto;2018-09-30T09:59:32.340000Z
44;3;{'uid': '134'};21;f260a25d7217bc4ca4946c156f6b2615;60.1985314;24.9676708;Haukilahdenkatu;2018-09-30T09:59:32.341000Z
45;9;{'uid': '136'};2;98e39df220af06356d756b7d1e1327d0;60.2032721;24.9513636;Sofianlehdonkatu;2018-09-30T09:59:32.345000Z
46;10;{'uid': '148'};6;54c3fd84fc4a00667e64fd83ffdbae27;60.2184427;24.9664619;Juhana Herttuan tie;2018-09-30T09:59:32.365000Z
47;15;{'uid': '705'};3;6a7eb6bf55515e68f6a5748aaa7c9eb4;60.203892;24.80493;Laajalahden keskus;2018-09-30T09:59:32.370000Z
48;4;{'uid': '150'};25;c0af3fa79ff889dcab400b84b2572e1f;60.1766793;24.9338701;Töölönlahden puisto;2018-09-30T09:59:32.373000Z
